new,"[2065.8971821380032, 'JJ']"
familiar,"[60.65904963300002, 'JJ']"
drive,"[60.372441689999995, 'JJ']"
remark,"[59.419478222, 'JJ']"
region,"[58.747171323, 'JJ']"
modest,"[58.537918897999994, 'JJ']"
incumb,"[58.345921440000005, 'JJ']"
summari,"[58.24654315500001, 'JJ']"
industri,"[57.36783452099999, 'JJ']"
applic,"[56.80799385800001, 'JJ']"
visibl,"[56.732919579, 'JJ']"
proud,"[56.62889568200001, 'JJ']"
origin,"[56.27995557000003, 'JJ']"
histor,"[55.516678314, 'JJ']"
fast,"[55.439587677000006, 'JJ']"
awar,"[54.393084783000006, 'JJ']"
unclear,"[53.66377640900001, 'JJ']"
focus,"[53.503366613, 'JJ']"
technolog,"[52.62059193499999, 'JJ']"
strongest,"[52.476045138, 'JJS']"
incred,"[52.351990625, 'JJ']"
formal,"[51.935768735, 'JJ']"
broader,"[51.831075399, 'JJR']"
extens,"[51.670972986, 'JJ']"
mainstream,"[51.66015168999999, 'JJ']"
easi,"[51.520775671000024, 'JJ']"
domin,"[50.182148672000025, 'JJ']"
special,"[49.429989246, 'JJ']"
amaz,"[48.252999249999995, 'JJ']"
lead,"[48.008748697, 'JJ']"
q2,"[47.564826339999996, 'JJ']"
relev,"[47.37170389500001, 'JJ']"
profession,"[47.36244985299999, 'JJ']"
pessimist,"[46.937398705, 'JJ']"
larg,"[46.86398093400005, 'JJ']"
construct,"[46.666750115000006, 'JJ']"
co,"[46.337503403000014, 'JJ']"
inform,"[45.869986001, 'JJ']"
electron,"[45.68658910400002, 'JJ']"
tech,"[45.46146278400002, 'JJ']"
power,"[45.447734686000004, 'JJ']"
unfavor,"[44.89648249500001, 'JJ']"
comfort,"[44.311490038, 'JJ']"
whop,"[44.30498325599999, 'JJ']"
sexual,"[44.01286246, 'JJ']"
core,"[43.96917324100001, 'JJR']"
wild,"[43.573582969, 'JJ']"
yahoo,"[43.537907759000014, 'JJ']"
technic,"[43.48206249399999, 'JJ']"
underway,"[43.465219136, 'JJ']"
refin,"[43.41947896500001, 'JJ']"
vast,"[43.20598214500001, 'JJ']"
launch,"[43.183053107, 'JJ']"
straight,"[42.960556196, 'JJ']"
maximum,"[42.54775916, 'JJ']"
automat,"[42.478070291, 'JJ']"
cultur,"[42.464125475, 'JJ']"
transsept,"[42.0626896, 'JJ']"
statist,"[42.061245104, 'JJ']"
unchang,"[41.75809048400002, 'JJ']"
physic,"[41.535152587, 'JJ']"
use,"[41.46873271599999, 'JJ']"
common,"[41.43945880500001, 'JJ']"
address,"[41.324819401, 'JJ']"
server,"[41.000936439, 'JJ']"
respons,"[40.979725685, 'JJ']"
android,"[40.009542071, 'JJ']"
versus,"[39.835785715, 'JJ']"
gross,"[39.777383922999924, 'JJ']"
outsid,"[39.685550082999995, 'JJ']"
stellar,"[39.491018168, 'JJ']"
pro,"[39.253357230000006, 'JJ']"
exclus,"[39.234996643, 'JJ']"
virtual,"[39.213707272, 'JJ']"
atrial,"[39.123340424, 'JJ']"
extend,"[38.658216124, 'JJ']"
commerci,"[38.561754233000016, 'JJ']"
promis,"[38.300272289000006, 'JJ']"
definit,"[38.12381780300001, 'JJ']"
desir,"[38.121740497, 'JJ']"
weakest,"[37.958962361999994, 'JJS']"
upward,"[37.879851642, 'JJ']"
discret,"[37.737999864, 'JJ']"
appropri,"[37.298657091, 'JJ']"
rubl,"[36.954578064, 'JJ']"
discern,"[36.83794466, 'JJ']"
acut,"[36.83794466, 'JJ']"
transfemor,"[36.83794466, 'JJ']"
absolut,"[36.711490666, 'JJ']"
forese,"[36.43581246400001, 'JJ']"
app,"[36.405090218000005, 'JJ']"
proprietari,"[36.287661819, 'JJ']"
slower,"[36.19943004400001, 'JJR']"
entir,"[36.164835629, 'JJ']"
minim,"[35.816491029, 'JJ']"
administr,"[35.75609664899999, 'JJ']"
custom,"[35.700703578, 'JJ']"
q4,"[35.412556415, 'JJ']"
slowest,"[35.37688266, 'JJS']"
eighth,"[35.37688266, 'JJ']"
detail,"[35.354476993999995, 'JJ']"
artifici,"[35.24656065100006, 'JJ']"
process,"[35.199734476, 'JJ']"
central,"[35.162160359999994, 'JJ']"
reliabl,"[34.882642151, 'JJ']"
prefer,"[34.804512125, 'JJ']"
upgrad,"[34.776019219999995, 'JJ']"
approxim,"[34.687828710999995, 'JJ']"
widespread,"[34.29007936399999, 'JJ']"
soft,"[34.094676717999995, 'JJ']"
back,"[33.990249725, 'JJ']"
7th,"[33.7164751, 'JJ']"
specul,"[33.7164751, 'JJ']"
bankrupt,"[33.7164751, 'JJ']"
ces,"[33.7164751, 'JJ']"
distress,"[33.7164751, 'JJ']"
lost,"[33.7164751, 'JJ']"
bring,"[33.7164751, 'JJ']"
consol,"[33.251417035, 'JJ']"
giant,"[33.189303233, 'JJ']"
finest,"[33.180019356, 'JJS']"
effici,"[32.981285334000006, 'JJ']"
incent,"[32.97925914, 'JJ']"
hybrid,"[32.644937812, 'JJ']"
fantast,"[32.606038395, 'JJ']"
mix,"[32.522048794000014, 'JJ']"
aliv,"[32.424896898, 'JJ']"
programm,"[32.174852324, 'JJ']"
blue,"[32.033677424, 'JJ']"
numer,"[31.792345793000006, 'JJ']"
self,"[31.714961604000003, 'JJ']"
aggress,"[31.408974496, 'JJ']"
german,"[31.117436418999997, 'JJ']"
passiv,"[31.042428163000004, 'JJ']"
extraordinari,"[30.943022862000003, 'JJ']"
obvious,"[30.84705054, 'JJ']"
condit,"[30.800082266000008, 'JJ']"
come,"[30.652383099999998, 'JJ']"
classic,"[30.576498825999995, 'JJ']"
median,"[30.529611238999998, 'JJ']"
poor,"[30.224754287999996, 'JJ']"
healthi,"[30.183954313000005, 'JJ']"
rich,"[30.095541827, 'JJ']"
privat,"[30.043573050999996, 'JJ']"
calendar,"[29.409315636000002, 'JJ']"
forma,"[29.222011585000004, 'JJ']"
pleas,"[29.140187752000056, 'JJ']"
categori,"[29.096989968, 'JJ']"
secondari,"[29.092635031999997, 'JJ']"
respect,"[28.85373003, 'JJ']"
adjac,"[28.717895591, 'JJ']"
sensit,"[28.442363917999998, 'JJ']"
undergo,"[28.363825471000002, 'JJ']"
front,"[28.345844313, 'JJ']"
subsequ,"[28.282147431999995, 'JJ']"
ex,"[28.09854863, 'JJ']"
improv,"[28.035018803000003, 'JJ']"
substanti,"[27.766373390000012, 'JJ']"
fi,"[27.69670248, 'JJ']"
dens,"[27.63502351, 'JJ']"
www,"[27.540751076000006, 'JJ']"
target,"[27.44305082, 'JJ']"
develop,"[27.245048513000004, 'JJ']"
perpetu,"[27.123602303, 'JJ']"
help,"[27.076312158, 'JJ']"
newer,"[27.048105129999996, 'JJR']"
crucial,"[26.530228438000005, 'JJ']"
prompt,"[26.518590884, 'JJ']"
republican,"[26.504604387, 'JJ']"
optim,"[26.378580462, 'JJ']"
immens,"[26.161421278000002, 'JJ']"
seventh,"[26.135126465, 'JJ']"
dedic,"[26.07048902, 'JJ']"
readi,"[26.00741277499999, 'JJ']"
leak,"[25.977582635999998, 'JJ']"
hard,"[25.737091616000008, 'JJ']"
classifi,"[25.679790637, 'JJ']"
unifi,"[25.619066964, 'JJ']"
abund,"[25.535161593999998, 'JJ']"
welcom,"[25.485189742000003, 'JJ']"
i7,"[25.319690325999996, 'JJ']"
legisl,"[25.312506294, 'JJ']"
revamp,"[25.277247075, 'JJ']"
measur,"[25.27664532, 'JJ']"
spam,"[25.27664532, 'JJ']"
season,"[25.15810313599999, 'JJ']"
fake,"[24.993989722000006, 'JJ']"
dilut,"[24.624134250000004, 'JJ']"
commentari,"[24.619330138000002, 'JJ']"
imposs,"[24.501098582999997, 'JJ']"
nomin,"[24.310354496000002, 'JJ']"
qualifi,"[24.26229508, 'JJ']"
dynam,"[24.258829254000002, 'JJ']"
upfront,"[24.058783670999997, 'JJ']"
abus,"[24.058402192, 'JJ']"
fix,"[23.993654265, 'JJ']"
immateri,"[23.987954308, 'JJ']"
credibl,"[23.952457274, 'JJ']"
reduc,"[23.924244953, 'JJ']"
convent,"[23.782001497999996, 'JJ']"
preliminari,"[23.690200518999998, 'JJ']"
let,"[23.647182214, 'JJ']"
overbought,"[23.372491754, 'JJ']"
longest,"[23.336481695000003, 'JJS']"
longtim,"[23.326490709, 'JJ']"
random,"[23.268470658, 'JJ']"
neurolog,"[23.268470658, 'JJ']"
paravalvular,"[23.268470658, 'JJ']"
overweight,"[23.221605982, 'JJ']"
structur,"[23.123867918000013, 'JJ']"
thin,"[23.106277904, 'JJ']"
unlik,"[23.079349149999995, 'JJ']"
download,"[23.04054054, 'JJ']"
nimbl,"[23.016872651, 'JJ']"
forth,"[22.778907229, 'JJ']"
defens,"[22.762208753, 'JJ']"
nearbi,"[22.551587761, 'JJ']"
depend,"[22.498643404, 'JJ']"
e,"[22.441094943, 'JJ']"
light,"[22.389602481000004, 'JJ']"
prospect,"[22.34636872, 'JJ']"
curv,"[22.314394412000002, 'JJ']"
equival,"[22.286757662, 'JJ']"
distribut,"[22.260017891, 'JJ']"
advers,"[22.135205325999998, 'JJ']"
most,"[22.122270364, 'JJS']"
implant,"[22.067661920000003, 'JJ']"
scientif,"[21.815261750000005, 'JJ']"
paid,"[21.800507325999998, 'JJ']"
sophist,"[21.794432744000005, 'JJ']"
time,"[21.704350204, 'JJ']"
normal,"[21.696299307000007, 'JJ']"
rough,"[21.682794481999995, 'JJ']"
probabl,"[21.611107455, 'JJ']"
realist,"[21.609945881999998, 'JJ']"
oversea,"[21.579709755, 'JJ']"
unmet,"[21.448226151999997, 'JJ']"
access,"[21.427463126999996, 'JJ']"
proxi,"[21.270492271000002, 'JJ']"
odd,"[20.99329196, 'JJ']"
usual,"[20.888247965000005, 'JJ']"
receiv,"[20.884416531, 'JJ']"
yoy,"[20.784024113, 'JJ']"
flash,"[20.73020764, 'JJ']"
embed,"[20.476170150999998, 'JJ']"
spanish,"[20.46581029, 'JJ']"
enorm,"[20.414842271999998, 'JJ']"
enhanc,"[20.387203368999998, 'JJ']"
peak,"[20.353374298, 'JJ']"
screen,"[20.212082133, 'JJ']"
neglig,"[20.132074384, 'JJ']"
will,"[20.03962645, 'JJ']"
write,"[19.917456776999998, 'JJ']"
later,"[19.893903755, 'JJ']"
nice,"[19.851894244000007, 'JJ']"
presidenti,"[19.801324727, 'JJ']"
green,"[19.674270008, 'JJ']"
straightforward,"[19.618851249000002, 'JJ']"
q1,"[19.555187941, 'JJ']"
educ,"[19.555029782, 'JJ']"
flawless,"[19.54674221, 'JJ']"
poorer,"[19.44864048, 'JJR']"
harass,"[19.44864048, 'JJ']"
unlicens,"[19.44864048, 'JJ']"
protract,"[19.44864048, 'JJ']"
irregular,"[19.44864048, 'JJ']"
promot,"[19.44864048, 'JJ']"
entrench,"[19.44864048, 'JJ']"
toxic,"[19.44864048, 'JJ']"
eventu,"[19.44864048, 'JJ']"
taxi,"[19.44864048, 'JJ']"
neighbor,"[19.44864048, 'JJ']"
pragmat,"[19.44864048, 'JJ']"
predomin,"[19.44864048, 'JJ']"
nationalist,"[19.44864048, 'JJ']"
sens,"[19.44864048, 'JJ']"
ride,"[19.44864048, 'JJ']"
pour,"[19.44864048, 'JJ']"
love,"[19.328275412000004, 'JJ']"
afford,"[19.31700932, 'JJ']"
notabl,"[19.275746870000003, 'JJ']"
thought,"[19.211731843000003, 'JJ']"
inch,"[19.210136609, 'JJ']"
weight,"[18.991323854, 'JJ']"
email,"[18.770870393, 'JJ']"
cross,"[18.752118206000002, 'JJ']"
ambiti,"[18.662170663000005, 'JJ']"
hemodynam,"[18.515643669, 'JJ']"
inher,"[18.445600102999997, 'JJ']"
inadvis,"[18.41897233, 'JJ']"
stroke,"[18.41897233, 'JJ']"
inferior,"[18.41897233, 'JJ']"
label,"[18.41897233, 'JJ']"
surgeri,"[18.41897233, 'JJ']"
noninferior,"[18.41897233, 'JJ']"
symptomat,"[18.41897233, 'JJ']"
bioprosthet,"[18.41897233, 'JJ']"
spectacular,"[18.411701056, 'JJ']"
card,"[18.396154685, 'JJ']"
compon,"[18.366148668, 'JJ']"
elit,"[18.352168033999998, 'JJ']"
ill,"[18.327089419, 'JJ']"
icloud,"[18.290855020000002, 'JJ']"
upsid,"[18.217301718999998, 'JJ']"
favorit,"[18.19466416, 'JJ']"
fifth,"[18.157796992, 'JJ']"
30th,"[17.995630802, 'JJ']"
advanc,"[17.983781112999996, 'JJ']"
sell,"[17.976088965, 'JJ']"
your,"[17.918391483, 'JJ']"
ph,"[17.917034422, 'JJ']"
cardiovascular,"[17.816249019999994, 'JJ']"
interconnect,"[17.709990058, 'JJ']"
danger,"[17.709860772000003, 'JJ']"
commend,"[17.676143386, 'JJ']"
x86,"[17.615125540999998, 'JJ']"
enterpris,"[17.528500862, 'JJ']"
composit,"[17.487260067, 'JJ']"
tier,"[17.453551285, 'JJ']"
21st,"[17.441388071, 'JJ']"
brief,"[17.325080334, 'JJ']"
neutral,"[17.303890717, 'JJ']"
thread,"[17.245345195999995, 'JJ']"
quiet,"[17.126813191, 'JJ']"
radic,"[17.118805648, 'JJ']"
impair,"[17.097415506, 'JJ']"
slight,"[17.082942283, 'JJ']"
nm,"[17.077586601999997, 'JJ']"
ten,"[16.949714450000002, 'JJ']"
immedi,"[16.832984134999997, 'JJ']"
lucrat,"[16.829261643000002, 'JJ']"
offici,"[16.819855872999995, 'JJ']"
nativ,"[16.805295505, 'JJ']"
proven,"[16.770564852, 'JJ']"
transact,"[16.760571616, 'JJ']"
uptrend,"[16.755181704, 'JJ']"
roubl,"[16.721273426, 'JJ']"
necessari,"[16.628676434999996, 'JJ']"
post,"[16.5423246, 'JJ']"
newest,"[16.391358026999995, 'JJS']"
benefici,"[16.353412642000002, 'JJ']"
up,"[16.293440341, 'JJ']"
prize,"[16.226717434, 'JJ']"
viabl,"[16.222121621000003, 'JJ']"
half,"[16.207892832, 'JJ']"
sorri,"[16.03163526, 'JJ']"
incorrect,"[16.022682688, 'JJ']"
undu,"[16.022682688, 'JJ']"
assess,"[16.022682688, 'JJ']"
push,"[15.861666577000001, 'JJ']"
bold,"[15.746168266000002, 'JJ']"
predict,"[15.589867275, 'JJ']"
modular,"[15.576216699, 'JJ']"
scan,"[15.557852013000002, 'JJ']"
teen,"[15.536200757, 'JJ']"
turkish,"[15.52551243, 'JJ']"
choos,"[15.52551243, 'JJ']"
client,"[15.50387597, 'JJ']"
hesit,"[15.50387597, 'JJ']"
gradual,"[15.439485473999998, 'JJ']"
friend,"[15.430521723000002, 'JJ']"
loud,"[15.36036036, 'JJ']"
cumul,"[15.36036036, 'JJ']"
postpaid,"[15.36036036, 'JJ']"
tumultu,"[15.314273555000002, 'JJ']"
tepid,"[15.304034660999998, 'JJ']"
left,"[15.216970591, 'JJ']"
proper,"[15.179928028, 'JJ']"
sleek,"[15.117191754, 'JJ']"
dial,"[15.049204791, 'JJ']"
precis,"[15.019489193999998, 'JJ']"
unmatch,"[14.951408284, 'JJ']"
impend,"[14.899434646, 'JJ']"
insid,"[14.834823421, 'JJ']"
harder,"[14.761127183000003, 'JJR']"
pretti,"[14.712772848000004, 'JJ']"
standard,"[14.663575100999996, 'JJ']"
fellow,"[14.547399175999999, 'JJ']"
opportunist,"[14.536196683, 'JJ']"
cohes,"[14.52073915, 'JJ']"
direct,"[14.487703807000003, 'JJ']"
diagnos,"[14.473159655, 'JJ']"
physician,"[14.473159655, 'JJ']"
telephon,"[14.473159655, 'JJ']"
abrupt,"[14.292912871000002, 'JJ']"
trail,"[14.275423939, 'JJ']"
evid,"[14.198498062, 'JJ']"
start,"[14.191747546999999, 'JJ']"
instal,"[14.15296652, 'JJ']"
vs,"[14.084762895, 'JJ']"
lab,"[14.05835544, 'JJ']"
payback,"[14.05835544, 'JJ']"
micro,"[14.05835544, 'JJ']"
rampant,"[14.05835544, 'JJ']"
mistaken,"[14.05835544, 'JJ']"
intellig,"[13.989927639, 'JJ']"
viewer,"[13.84835124, 'JJR']"
spotti,"[13.84835124, 'JJ']"
virtuous,"[13.84835124, 'JJ']"
collaps,"[13.84835124, 'JJ']"
quater,"[13.84835124, 'JJ']"
worthwhil,"[13.84835124, 'JJ']"
muscular,"[13.84835124, 'JJ']"
nl3n1k93zt,"[13.84835124, 'JJ']"
ani,"[13.84835124, 'JJ']"
symbol,"[13.84835124, 'JJ']"
sci,"[13.84835124, 'JJ']"
unoffici,"[13.84835124, 'JJ']"
schedul,"[13.84835124, 'JJ']"
wishi,"[13.84835124, 'JJ']"
pediatr,"[13.84835124, 'JJ']"
fishi,"[13.84835124, 'JJ']"
ub,"[13.84835124, 'JJ']"
crude,"[13.84835124, 'JJ']"
ripe,"[13.84835124, 'JJ']"
pronounc,"[13.847313729, 'JJ']"
refurbish,"[13.829419888, 'JJ']"
than,"[13.744875813, 'JJ']"
perspect,"[13.655389825, 'JJ']"
strateg,"[13.52354612899996, 'JJ']"
list,"[13.421670943999999, 'JJ']"
dramat,"[13.398931037999999, 'JJ']"
logic,"[13.39046141, 'JJ']"
secular,"[13.309207191, 'JJ']"
dishonest,"[13.30150068, 'JJS']"
softer,"[13.30150068, 'JJR']"
anem,"[13.30150068, 'JJ']"
note,"[13.30150068, 'JJ']"
noto,"[13.30150068, 'JJ']"
unsur,"[13.30150068, 'JJ']"
anonym,"[13.30150068, 'JJ']"
resurrect,"[13.30150068, 'JJ']"
chicken,"[13.30150068, 'JJ']"
monitor,"[13.281061562, 'JJ']"
unlock,"[13.2731521, 'JJ']"
delay,"[13.02304872, 'JJ']"
buy,"[13.005678975, 'JJ']"
experiment,"[12.956365702, 'JJ']"
leas,"[12.956365702, 'JJ']"
heavi,"[12.94750267000001, 'JJ']"
foundat,"[12.93417537, 'JJ']"
unaudit,"[12.93417537, 'JJ']"
appar,"[12.909059803000002, 'JJ']"
procedur,"[12.764472838, 'JJ']"
louder,"[12.63832266, 'JJR']"
spambot,"[12.63832266, 'JJ']"
coloss,"[12.63832266, 'JJ']"
