expect,"[1521.0048695479993, 'VBG']"
sign,"[100.97297787600002, 'VBD']"
speak,"[100.19092849300004, 'VBG']"
spent,"[100.15740740900002, 'VBD']"
match,"[99.87086557499998, 'VB']"
offset,"[99.76649026299995, 'VB']"
rais,"[98.92285984500002, 'VBD']"
buy,"[98.74822461800007, 'VB']"
reduc,"[98.03219430200006, 'VB']"
mark,"[97.92597862000002, 'VBN']"
exit,"[97.61033395800001, 'VBG']"
back,"[97.36327387200002, 'VBN']"
revers,"[97.039783265, 'VB']"
subscrib,"[95.82310047800001, 'VBD']"
comment,"[95.13350880900002, 'VB']"
updat,"[94.98358984599999, 'VBD']"
intend,"[94.76684395299998, 'VB']"
design,"[94.14622149099999, 'VBD']"
execut,"[93.95683438400002, 'VBP']"
sampl,"[93.907270509, 'VBG']"
finish,"[93.72609464400001, 'VBD']"
test,"[93.63317166300001, 'VB']"
disabl,"[93.277456439, 'VB']"
amount,"[93.16416581599998, 'VBZ']"
delay,"[93.10271557500005, 'VBN']"
attribut,"[92.30113238500002, 'VBD']"
explain,"[92.15647265199999, 'VBZ']"
exceed,"[91.35180831000001, 'VBG']"
stabil,"[90.722402375, 'VBG']"
thought,"[90.67796081500003, 'VBD']"
view,"[90.57475104000004, 'VBP']"
tell,"[90.21541237000001, 'VB']"
save,"[90.10045295699999, 'VBN']"
display,"[89.347925232, 'VBP']"
satur,"[89.101798592, 'VBD']"
impact,"[88.97759301799992, 'VB']"
affect,"[88.62964976000004, 'VBG']"
prove,"[88.16483642700001, 'VBG']"
lose,"[88.04174298500006, 'VB']"
convert,"[87.633579069, 'VBN']"
integr,"[87.44766013800003, 'VB']"
have,"[87.17628926300002, 'VBP']"
time,"[87.17399639599999, 'VBZ']"
enrol,"[87.01876620700001, 'VBD']"
cede,"[86.74311398000002, 'VBG']"
non,"[86.63937543299997, 'VB']"
best,"[85.246866698, 'VBD']"
posit,"[85.20472899800001, 'VBG']"
depend,"[85.08779794000003, 'VBG']"
schedul,"[80.686581389, 'VBN']"
boast,"[80.382577099, 'VBZ']"
differ,"[80.13515881100003, 'VB']"
consensus,"[79.99969246699999, 'VBP']"
break,"[79.78854618000001, 'VB']"
like,"[79.53412543500002, 'VB']"
known,"[79.012259575, 'VBN']"
tout,"[78.89495469900001, 'VBD']"
find,"[78.20807881400002, 'VBG']"
perform,"[78.199732748, 'VB']"
strengthen,"[77.963720494, 'VBN']"
yield,"[77.72917622000003, 'VBN']"
fuel,"[77.296399844, 'VB']"
remind,"[76.67753033200002, 'VBD']"
shrink,"[76.343451094, 'VB']"
grown,"[76.259693172, 'VBN']"
experienc,"[75.769175848, 'VBN']"
specul,"[75.734059024, 'VBN']"
wit,"[75.53540344800001, 'VBD']"
pour,"[74.19992643500001, 'VBG']"
explor,"[74.00269588700002, 'VBG']"
stood,"[73.567297089, 'VBD']"
propos,"[73.37450307100002, 'VBN']"
address,"[72.684990776, 'VB']"
paid,"[71.84536273400005, 'VBD']"
encourag,"[71.54014540700001, 'VBN']"
stall,"[71.105736234, 'VBG']"
under,"[70.68120476500005, 'VBG']"
contain,"[70.65929749400001, 'VBN']"
held,"[70.407244137, 'VBD']"
rival,"[70.30351704600001, 'VB']"
app,"[69.98132071300002, 'VB']"
publish,"[69.85405585700002, 'VBN']"
ask,"[69.827512693, 'VBD']"
select,"[69.566070549, 'VBN']"
recogn,"[69.259444399, 'VBP']"
check,"[69.25465925400002, 'VB']"
leverag,"[68.70935330100001, 'VBG']"
com,"[68.30423147000008, 'VBP']"
implement,"[68.232925248, 'VB']"
elabor,"[68.22736256, 'VB']"
produc,"[67.88281554500006, 'VB']"
guidanc,"[67.719053945, 'VB']"
head,"[67.085810198, 'VB']"
are,"[66.879560709, 'VBP']"
settl,"[65.94982405600001, 'VBN']"
prepar,"[65.48274966000001, 'VBG']"
rememb,"[64.93504469600002, 'VBP']"
handl,"[64.84886443900001, 'VBZ']"
translat,"[64.70650551099999, 'VB']"
project,"[64.65086234100004, 'VBN']"
transform,"[64.49182727600001, 'VB']"
took,"[64.266220945, 'VBD']"
convinc,"[64.26358982699999, 'VB']"
earn,"[64.22203781199997, 'VB']"
upcom,"[63.842202771, 'VBG']"
sustain,"[63.76293732300001, 'VBN']"
begin,"[63.63374132999999, 'VBG']"
experi,"[63.358772365, 'VB']"
sort,"[62.630155727, 'VBP']"
choos,"[62.350814510000006, 'VB']"
name,"[61.429507088, 'VBN']"
fuell,"[61.413177579999996, 'VBN']"
denomin,"[61.042207287, 'VBN']"
struck,"[59.94751782500002, 'VBD']"
pile,"[59.236762002999996, 'VBP']"
rack,"[58.790884870999996, 'VBN']"
guess,"[58.338447203000015, 'VBP']"
thrive,"[58.138609074, 'VBG']"
quot,"[57.97881253600001, 'VBD']"
headwind,"[57.848689371000006, 'VBZ']"
sit,"[57.799309267000005, 'VBZ']"
cross,"[57.124356991, 'VBZ']"
appoint,"[57.054212936000006, 'VBN']"
annual,"[57.03018786400001, 'VBN']"
instal,"[56.94956257699999, 'VB']"
slow,"[56.421143250000014, 'VBG']"
shown,"[56.395061633, 'VBN']"
target,"[56.32254780100001, 'VBZ']"
edg,"[56.02329284300001, 'VB']"
simplifi,"[55.75380086300001, 'VB']"
surpass,"[55.41636414100001, 'VBD']"
aim,"[55.36223801200002, 'VBN']"
bet,"[54.754390993, 'VB']"
highlight,"[54.38962905000001, 'VBN']"
list,"[54.10249398599999, 'VBD']"
fight,"[53.792598062, 'VB']"
pay,"[53.59841409900011, 'VB']"
shape,"[53.355399773, 'VBG']"
profit,"[52.669464413, 'VBD']"
shake,"[52.62210974999999, 'VBZ']"
grant,"[52.26629056, 'VBD']"
leap,"[52.24365297000001, 'VBD']"
admit,"[52.133735345000005, 'VBD']"
visit,"[51.51910975000001, 'VBP']"
comput,"[51.123322565000024, 'VBG']"
high,"[51.078653208999995, 'VBZ']"
garner,"[50.973135106, 'VBD']"
notic,"[50.75810006100001, 'VBD']"
rank,"[50.639968467, 'VB']"
inflat,"[50.55329064, 'VBN']"
yeah,"[50.55053757500001, 'VBP']"
initi,"[50.504671587000004, 'VBD']"
leak,"[50.19887539199999, 'VBN']"
unveil,"[49.89109780899999, 'VBD']"
wait,"[49.791109792, 'VB']"
accompani,"[49.790755843, 'VBN']"
guy,"[49.533279906000004, 'VBP']"
date,"[49.415166971, 'VBG']"
state,"[49.17576634800002, 'VBG']"
hamper,"[48.96813239000001, 'VB']"
rule,"[48.809590216000004, 'VBD']"
negoti,"[48.414548529, 'VBN']"
recov,"[48.399167961, 'VB']"
pursu,"[47.92363578200001, 'VB']"
skyrocket,"[47.689428959, 'VBG']"
disclaim,"[47.548552488000006, 'VBP']"
rave,"[47.517850881, 'VBG']"
click,"[47.486993424, 'VBP']"
achiev,"[46.792318417999994, 'VBG']"
rip,"[46.643894516, 'VBG']"
sent,"[45.706664128, 'VBD']"
book,"[45.68846311, 'VBG']"
slip,"[45.448460710000006, 'VBD']"
wind,"[45.38846382, 'VBG']"
disconnect,"[45.250581308, 'VB']"
gave,"[44.79832136200001, 'VBD']"
fill,"[44.689813427999994, 'VBD']"
crush,"[44.459093231, 'VBD']"
accomplish,"[44.441083944, 'VB']"
commit,"[44.423455833000006, 'VBG']"
measur,"[44.381668675, 'VBD']"
sound,"[44.367577884, 'VB']"
studi,"[44.356702879, 'VBN']"
bolster,"[43.97793940600002, 'VBG']"
search,"[43.932670121, 'VB']"
support,"[43.74548625900001, 'VBD']"
met,"[43.43207969200001, 'VBN']"
calcul,"[43.271562949000014, 'VBN']"
repurchas,"[43.26128751400001, 'VBG']"
q4,"[43.057392545, 'VBP']"
involv,"[43.008763870000045, 'VBN']"
realiz,"[42.891598156, 'VB']"
benchmark,"[42.724108688, 'VBZ']"
monet,"[42.70203098499999, 'VBG']"
tend,"[42.579205861000005, 'VBZ']"
data,"[42.508100613, 'VB']"
final,"[42.3654818, 'VB']"
therano,"[42.17506632, 'VB']"
await,"[41.85933819, 'VBN']"
gear,"[41.825033260999994, 'VBG']"
normal,"[41.76338975200001, 'VBD']"
repeal,"[41.54505372, 'VB']"
conced,"[41.504848296000006, 'VBD']"
compil,"[41.33728164700001, 'VBD']"
eat,"[41.116187802, 'VB']"
meet,"[40.847435497999996, 'VB']"
appeal,"[40.69753765600001, 'VB']"
log,"[40.17963172, 'VBG']"
reignit,"[40.088750417, 'VBD']"
livestream,"[39.90450204, 'VBG']"
up,"[39.89580758300001, 'VBD']"
coupl,"[39.834934919, 'VBD']"
shore,"[39.646241723, 'VB']"
hedg,"[39.589740217, 'VBN']"
reli,"[39.19051613500001, 'VBZ']"
power,"[39.15194788299999, 'VBD']"
succeed,"[39.145808765000005, 'VBN']"
maintain,"[39.059644693, 'VB']"
hike,"[38.99084669199999, 'VBD']"
roam,"[38.89728096, 'VBG']"
particip,"[38.77186441400001, 'VB']"
sport,"[38.753493207000005, 'VBZ']"
occur,"[38.741933308, 'VBN']"
shutter,"[38.703764042, 'VBG']"
attach,"[38.565973428, 'VBD']"
outlin,"[38.505348240000004, 'VBN']"
unlimit,"[38.501074783, 'VBN']"
drag,"[38.428327542, 'VB']"
elect,"[38.041849084000006, 'VB']"
overst,"[37.91496798, 'VBN']"
ran,"[37.745634374, 'VBD']"
appreci,"[37.437416361000004, 'VBN']"
distribut,"[37.38393022099999, 'VBD']"
total,"[37.33838697, 'VB']"
bump,"[37.106227181, 'VBD']"
superior,"[36.83794466, 'VBN']"
overvalu,"[36.831666478, 'VBD']"
disclos,"[36.815279722, 'VBD']"
span,"[36.732442045, 'VBG']"
hear,"[36.694951308, 'VBG']"
hi,"[36.582264277, 'VB']"
control,"[36.474142973, 'VB']"
reserv,"[35.988745458000004, 'VBD']"
began,"[35.85268652899996, 'VBD']"
glow,"[35.77769796, 'VBG']"
ink,"[35.455142449, 'VBN']"
track,"[35.186764595, 'VBN']"
figur,"[35.171574280000016, 'VB']"
advertis,"[35.00217247, 'VBG']"
ralli,"[34.649591451999996, 'VBD']"
engag,"[34.607816783999986, 'VBD']"
partner,"[34.455325318, 'VBN']"
overestim,"[34.274460721, 'VBG']"
resum,"[33.846922194, 'VB']"
beg,"[33.7164751, 'VBZ']"
unfound,"[33.7164751, 'VBN']"
fledg,"[33.7164751, 'VBN']"
swung,"[33.7164751, 'VBD']"
simmer,"[33.7164751, 'VBD']"
hello,"[33.442546852, 'VB']"
download,"[33.19095701600001, 'VBN']"
swing,"[33.178038029, 'VBG']"
rumor,"[33.096668578, 'VBN']"
author,"[33.032080910000005, 'VBN']"
arriv,"[32.964876145999995, 'VBN']"
therefor,"[32.876839749, 'VBP']"
forget,"[32.860272460999994, 'VB']"
ensu,"[32.855949401000004, 'VBG']"
differenti,"[32.821011162, 'VBD']"
program,"[32.770009553, 'VBG']"
screen,"[32.75158827, 'VBZ']"
first,"[32.75014116, 'VB']"
model,"[32.622564415, 'VB']"
avoid,"[32.516316263, 'VB']"
fare,"[32.475019599, 'VBD']"
compet,"[32.45560223800002, 'VBP']"
brand,"[32.385890544, 'VBD']"
acknowledg,"[32.274500135, 'VB']"
amend,"[32.138746547000004, 'VB']"
pace,"[32.045365376, 'VBG']"
right,"[31.934912525999998, 'VBD']"
lie,"[31.84228640300001, 'VBZ']"
hire,"[31.61398313600001, 'VBD']"
vari,"[31.598899387, 'VB']"
ex,"[31.548337615999998, 'VB']"
sure,"[31.453805523, 'VBP']"
random,"[31.305258744, 'VB']"
regist,"[31.275343439000004, 'VB']"
e,"[31.137906088, 'VBD']"
pois,"[31.034400895999998, 'VBN']"
carri,"[31.010042095, 'VBZ']"
conclud,"[30.955660467, 'VB']"
mount,"[30.855603713, 'VBG']"
divid,"[30.655612832999996, 'VB']"
trend,"[30.51523180300001, 'VBG']"
begun,"[30.44176965, 'VBN']"
clock,"[30.257750396, 'VBD']"
analyz,"[30.180866301000002, 'VBP']"
penetr,"[30.153882884, 'VB']"
transcript,"[30.116894029, 'VBZ']"
momentum,"[29.915489987999997, 'VBD']"
semi,"[29.746273081, 'VBP']"
special,"[29.540952676999996, 'VBN']"
travel,"[29.503943504000006, 'VBG']"
equal,"[29.499994542999993, 'VB']"
groundbreak,"[29.492648849, 'VBG']"
spin,"[29.437854462, 'VB']"
materi,"[29.324183368, 'VBP']"
q2,"[29.320113315, 'VBD']"
replac,"[29.22059292799999, 'VB']"
prefer,"[29.175706241, 'VBN']"
elut,"[29.096989968, 'VBG']"
caution,"[29.052352329999998, 'VBD']"
weigh,"[28.94992778, 'VBN']"
label,"[28.661005348, 'VBG']"
pare,"[28.646741989, 'VB']"
consist,"[28.640073402000002, 'VBG']"
iphon,"[28.53465715200001, 'VB']"
lure,"[28.280779628, 'VBD']"
direct,"[28.18902632, 'VB']"
buoy,"[28.147305084000006, 'VBD']"
gotten,"[27.990645161999996, 'VBN']"
battl,"[27.821053184, 'VBG']"
drew,"[27.707523244, 'VBD']"
invit,"[27.672035582, 'VBG']"
wise,"[27.636084086999997, 'VB']"
roadmap,"[27.63502351, 'VBZ']"
slid,"[27.404733417, 'VBD']"
disrupt,"[27.375528659, 'VB']"
stroke,"[27.225957913, 'VBD']"
crippl,"[27.128820660000002, 'VBG']"
commenc,"[27.1235571, 'VBG']"
appli,"[27.018805596000007, 'VB']"
rocket,"[26.934673826, 'VBD']"
store,"[26.810866830000002, 'VB']"
contribut,"[26.758081243000056, 'VBN']"
applaud,"[26.724669626, 'VB']"
care,"[26.6966781, 'VBP']"
place,"[26.582146872999996, 'VBN']"
surround,"[26.469374517, 'VBG']"
imagin,"[26.400194722, 'VB']"
captur,"[26.377828099, 'VBN']"
upgrad,"[26.164420458, 'VBG']"
slash,"[26.135261534999998, 'VBN']"
defend,"[25.957424606000007, 'VB']"
pre,"[25.822690865, 'VB']"
kept,"[25.81636389900001, 'VBN']"
burgeon,"[25.677968336, 'VBG']"
flag,"[25.622856820000003, 'VBG']"
pump,"[25.593042257, 'VBN']"
inform,"[25.552887671, 'VBN']"
echo,"[25.457183422999996, 'VBG']"
audit,"[25.27664532, 'VBN']"
miscount,"[25.27664532, 'VBN']"
miscalcul,"[25.27664532, 'VBD']"
file,"[25.26229426099996, 'VBG']"
render,"[25.111188526999996, 'VBG']"
mandat,"[24.989630452, 'VB']"
transcathet,"[24.988832055, 'VB']"
reshap,"[24.885992726, 'VB']"
tune,"[24.823353242, 'VBN']"
consolid,"[24.542110914, 'VB']"
subtract,"[24.484029641, 'VBG']"
propel,"[24.429806921, 'VBN']"
specifi,"[24.418479712999996, 'VBN']"
pull,"[24.375600511000002, 'VBD']"
opt,"[24.326133041, 'VB']"
enter,"[24.282508870000008, 'VBG']"
associ,"[24.26125079800003, 'VBN']"
dedic,"[23.95933436, 'VBN']"
justifi,"[23.952972521000003, 'VB']"
undercut,"[23.952457274, 'VB']"
regul,"[23.688007454000005, 'VBN']"
outpac,"[23.620163828, 'VBG']"
free,"[23.546310385, 'VB']"
undertak,"[23.528100865000003, 'VB']"
teen,"[23.431676866, 'VBZ']"
shrug,"[23.381581667, 'VBG']"
mike,"[23.280145238, 'VB']"
respond,"[23.24564587499999, 'VBG']"
assuag,"[23.159490341, 'VB']"
reintroduc,"[23.04054054, 'VBD']"
fulfil,"[23.01207487, 'VBN']"
procedur,"[22.895709489999998, 'VBZ']"
outnumb,"[22.846166641, 'VBD']"
balanc,"[22.76653275, 'VB']"
summar,"[22.730364119999997, 'VBN']"
otherwis,"[22.721153811, 'VB']"
peg,"[22.698104667, 'VBN']"
strike,"[22.681171753, 'VBG']"
describ,"[22.56686774600001, 'VB']"
spark,"[22.557206345, 'VBN']"
forecast,"[22.484715227999978, 'VBG']"
round,"[22.383820046000004, 'VBN']"
center,"[22.298757766999998, 'VBP']"
margin,"[22.259742637, 'VB']"
renew,"[22.217833640000002, 'VBN']"
misstat,"[22.156871864, 'VBD']"
influenc,"[22.028985358000003, 'VBD']"
curb,"[21.939664697, 'VB']"
websit,"[21.918545816, 'VBZ']"
maxim,"[21.915970369, 'VB']"
consult,"[21.890450099, 'VBG']"
versus,"[21.809757153999996, 'VBP']"
laptop,"[21.78331082, 'VBZ']"
categor,"[21.7186274, 'VBN']"
mine,"[21.674617344, 'VB']"
undergo,"[21.619913190000002, 'VB']"
surgeri,"[21.619012325, 'VB']"
market,"[21.610012633999993, 'VBG']"
accept,"[21.519618604, 'VB']"
smash,"[21.435138701, 'VBD']"
sat,"[21.386272714, 'VBD']"
cannib,"[21.381140945, 'VB']"
bill,"[21.358895730000015, 'VBN']"
refin,"[21.34713746, 'VBG']"
answer,"[21.249922751999996, 'VBG']"
digit,"[21.203054415000004, 'VBZ']"
headquart,"[21.175237420000002, 'VBD']"
worldwid,"[21.171110494999994, 'VB']"
prohibit,"[21.160837887, 'VBG']"
emphas,"[21.06419327, 'VBD']"
shaken,"[21.055156328000002, 'VBN']"
no,"[21.0313448, 'VBD']"
feed,"[21.0313448, 'VB']"
deni,"[20.951451128000002, 'VBN']"
aggreg,"[20.828922358, 'VBZ']"
volum,"[20.797610024, 'VBZ']"
done,"[20.795524631000006, 'VBN']"
constrain,"[20.721356171999997, 'VBN']"
suspect,"[20.652880594000003, 'VBP']"
remov,"[20.601881291000005, 'VB']"
float,"[20.58651816, 'VBG']"
bore,"[20.452759944, 'VBG']"
spell,"[20.43012482, 'VBN']"
compli,"[20.423133335000003, 'VB']"
conflict,"[20.401078875, 'VBP']"
fli,"[20.304925886, 'VB']"
resolv,"[20.281366798, 'VB']"
read,"[20.186099914, 'VBP']"
fix,"[20.173399896, 'VBN']"
exercis,"[20.04612205, 'VBD']"
regain,"[20.020671268, 'VBD']"
gather,"[19.860095652, 'VBN']"
satisfi,"[19.857613881, 'VBN']"
impress,"[19.771978794999995, 'VB']"
cap,"[19.668242879999998, 'VBD']"
blew,"[19.667309697, 'VBD']"
laud,"[19.54674221, 'VBP']"
forward,"[19.54674221, 'VBD']"
favor,"[19.545981021999996, 'VB']"
again,"[19.493688012, 'VBP']"
solidifi,"[19.44864048, 'VBZ']"
vanquish,"[19.44864048, 'VBZ']"
rider,"[19.44864048, 'VBP']"
between,"[19.44864048, 'VBP']"
nomin,"[19.44864048, 'VBN']"
embroil,"[19.44864048, 'VBN']"
outmatch,"[19.44864048, 'VBN']"
overseen,"[19.44864048, 'VBN']"
dissolv,"[19.44864048, 'VBN']"
chux,"[19.44864048, 'VBG']"
temper,"[19.44864048, 'VBG']"
subsid,"[19.44864048, 'VBG']"
outdo,"[19.44864048, 'VBG']"
forgo,"[19.44864048, 'VBG']"
harbor,"[19.44864048, 'VBG']"
dump,"[19.44864048, 'VBD']"
arch,"[19.44864048, 'VB']"
broker,"[19.44864048, 'VB']"
jumpstart,"[19.44864048, 'VB']"
portray,"[19.44864048, 'VB']"
declar,"[19.42549614, 'VBG']"
sold,"[19.398560589000063, 'VBN']"
submit,"[19.358422493, 'VBN']"
curv,"[19.271509188000003, 'VBN']"
buck,"[19.238355401, 'VBD']"
shut,"[19.218514068000008, 'VBD']"
so,"[19.13845598, 'VBD']"
spike,"[19.080207423999997, 'VBP']"
clarifi,"[18.927135837, 'VB']"
past,"[18.900366544, 'VBD']"
paus,"[18.743910962, 'VBD']"
revenu,"[18.660532841, 'VB']"
repeat,"[18.434166417, 'VBN']"
lifesav,"[18.43064691, 'VBG']"
destock,"[18.43064691, 'VBG']"
analys,"[18.41897233, 'VBZ']"
wherea,"[18.41897233, 'VBP']"
aka,"[18.41897233, 'VBP']"
onset,"[18.41897233, 'VBN']"
hospit,"[18.41897233, 'VBD']"
flew,"[18.41897233, 'VBD']"
calcium,"[18.41897233, 'VB']"
grab,"[18.27222861, 'VB']"
obtain,"[18.266868291000005, 'VBN']"
ship,"[18.13776597799996, 'VB']"
dial,"[18.06560961, 'VBG']"
overclock,"[18.015267176, 'VB']"
defi,"[17.995630802, 'VBD']"
opportun,"[17.948965071, 'VBZ']"
